Kalimat,Tipe
Saya biasanya belajar dengan praktek langsung. Saya suka membuat proyek kecil atau simulasi untuk menerapkan teori yang saya pelajari. Saya merasa lebih cepat memahami materi jika saya bisa mencoba dan melihat hasilnya langsung.,Kinestetik
Saya lebih suka mendengarkan ceramah online sambil melihat presentasi visual. Kombinasi antara mendengar dan melihat membantu saya memahami materi dengan lebih baik. Saya sering mengulang ceramah untuk memastikan saya tidak melewatkan detail penting.,Visual
"Belajar dengan praktek langsung adalah metode favorit saya. Saya selalu mencari kesempatan untuk menerapkan teori yang saya pelajari dalam proyek kecil atau latihan. Dengan cara ini, saya lebih cepat mengingat dan memahami materi.",Kinestetik
"Saya senang membuat mind map untuk merangkum materi pelajaran. Mind map membantu saya melihat hubungan antar konsep dengan lebih jelas. Selain itu, saya sering menggunakan video tutorial untuk memahami topik yang kompleks.",Visual
Saya lebih suka belajar dengan melihat diagram dan gambar. Saya merasa lebih mudah memahami materi dengan visualisasi. Saya sering membuat catatan menggunakan warna yang berbeda untuk setiap poin penting.,Visual
Saya lebih suka belajar dengan membaca buku dan artikel. Saya sering membuat ringkasan dan menggunakan flashcard untuk menghafal informasi penting. Saya juga menggunakan tabel dan diagram untuk membantu memahami konsep.,Read/Write
Saya sering belajar dengan menonton video tutorial dan mendengarkan ceramah. Kombinasi antara visual dan audio membantu saya memahami materi lebih baik. Saya membuat catatan sambil menonton dan mendengarkan untuk memastikan saya tidak melewatkan poin penting.,Visual
Saya lebih suka belajar dengan membaca dan membuat catatan rinci. Saya sering membuat ringkasan dan menggunakan flashcard untuk menghafal informasi penting. Saya juga menggunakan tabel dan diagram untuk membantu memahami konsep.,Read/Write
"Saya senang belajar dengan praktek langsung, terutama dalam mata pelajaran yang memerlukan pemahaman prosedural. Saya sering membuat proyek kecil atau simulasi untuk mengaplikasikan teori yang saya pelajari.",Kinestetik
"Saya sering belajar dengan cara bergerak dan berinteraksi secara langsung. Misalnya, ketika mempelajari konsep baru dalam matematika, saya akan menggunakan benda-benda fisik untuk memvisualisasikan masalahnya. Saya juga suka bermain peran untuk memahami situasi sosial dalam studi saya.",Kinestetik
Belajar dengan melihat diagram dan gambar adalah kebiasaan saya. Saya merasa lebih mudah memahami materi dengan visualisasi. Saya sering menggunakan diagram dan peta konsep untuk membantu memahami hubungan antar konsep.,Visual
Saya lebih suka belajar dengan melihat diagram dan gambar. Saya merasa lebih mudah memahami materi dengan visualisasi. Saya sering menggunakan mind map dan peta konsep untuk merangkum informasi penting.,Visual
"Saya lebih suka mendengarkan ceramah atau podcast. Saya merasa lebih mudah memahami materi jika mendengarnya. Sering kali, saya mengulang audio sambil mencatat poin-poin penting.",Auditori
Saya sering membuat catatan rinci dan praktek langsung untuk memahami materi. Kombinasi antara menulis dan praktek membantu saya mengingat informasi dengan lebih baik. Saya juga suka membuat proyek kecil untuk mengaplikasikan teori yang saya pelajari.,Read/Write
"Saya lebih suka belajar dengan mendengarkan ceramah atau podcast. Saya merasa lebih mudah memahami materi jika mendengarnya. Sering kali, saya mengulang audio sambil mencatat poin-poin penting.",Auditori
Saya senang belajar dengan melihat diagram dan gambar. Saya merasa lebih mudah memahami materi dengan visualisasi. Saya sering menggunakan mind map dan peta konsep untuk merangkum informasi penting.,Visual
Saya mencatat dan membaca kembali untuk memahami materi. Hal ini membantu saya mengingat informasi dengan lebih baik. Saya juga suka membuat proyek kecil untuk mengaplikasikan teori yang saya pelajari.,Read/Write
Saya lebih bisa memahami jika guru menjelaskan langsung kepada saya tentang materi yang diajarkan. Kombinasi antara mendengar dan mencoba membantu saya memahami materi dengan lebih baik. Saya sering mengulang audio sambil mencatat poin-poin penting.,Auditori
Belajar dengan melihat diagram dan gambar adalah kebiasaan saya. Saya merasa lebih mudah memahami materi dengan visualisasi. Saya sering menggunakan diagram dan peta konsep untuk membantu memahami hubungan antar konsep.,Visual
Saya lebih suka belajar dengan melihat diagram dan gambar. Saya merasa lebih mudah memahami materi dengan visualisasi. Saya sering menggunakan mind map dan peta konsep untuk merangkum informasi penting.,Visual
"Untuk pengalaman yang paling berkesan untuk saya adalah bagaimana saya bisa memahami gambar teknik dimana waktu itu gambar teknik adalah matakuliah yang sangat asing bagi saya yang merupakan lulusan SMA dan matkul ini bagi saya sendiri adalah matkul yang susah karna selain di tuntut untuk menggunakan logika kita juga di tunutn terampil dan presisi dalam menggambar sehingga matkul ini memberikan kesan yang dalam bagi saya sendiri

Bagaimana saya memahami nya adalah dengan terus berlatih dan melihat video tutorial tutorial di youtube ini sanggat mebantu saya dalam mencapai keterampilan yang baik namun di sini saya juga perlu berlatih tidak hanya 1-2 kali namun berkali kali bahkan pada job pertama saja saya menghabiskan kurang lebih limabelas lembar kertas namun dengan terus berlatih inilah yang membuat skliil dan logika saya berjalan lancar. 

Untuk metode sendiri selain menggunakan video tutorial ada yang lebih membuat saya mengerti dan paham bagaimana gambar terknik itu yaitu penjelasan langsung dari kating saya di sana saja di jelaskan bagaiaman itu pandangan dan aturan auturan yang harus di penuhi dari gambar teknik sehingga saya lebih paham lagi karena sebagian besar video turotial tidak menjelaskan secara rinci aturan aturan gambar.

Tantangan yang saya hadapai adalah bagaimana saya sama sekalai tidak mengetahui apa itu gambar teknik sehingga ini membaut saya kesulitan untuk mengikuti perkuliahan dengan dl yang sedikit sehingga saya di tuntuk belajar dengan cepat untuk mengejar kekurangan saya untuk itu makan saya meluangkan waktu yang lebih banyak untuk belajar gambar teknik ini 

Refleksi sendiri menurut saya degan berdiskusi secara langsung tentang masalah yang di hadapi, menonton dan terus mencoba akan membuat lebih mengerti apa yang sedang kita pelejari menurut saya gaya belajar saya ini sudah sangant cocok bagi saya sehingga saya tidak akan menggubah gaya belajar saya.",Kinestetik
"Pengalaman berkesan saya ketika materi yang disediakan baik buku atau penjelasan dari dosen lengkap dan mudah dimengerti. Lengkap dan mudah dimengerti maksudnya ketika materi sudah disampaikan dan dosen memberikan contoh real dalam kehidupan nyata. Saat penyampaian mudah dipahami maka saya akan merasa puas dan ingin mengulik lebih jauh lagi mengenai materi yang dipelajari. 
Cara memahami materi biasanya saya membaca materi yang disampaikan besok, mencoba mencari terlebih dahulu istilah-istilah yang belum saya ketahui, lalu cari materi tambahan dari Google atau referensi lain. Biasanya untuk mengingat2 materi saya cari kata kunci dari per bab, untuk saya hapalkan. Saat kelas berlangsung, saya menjadi lebih paham karena materi diulang dan mendapatkan pemahaman baru atau mengoreksi pemahaman saya yang salah. 
Metode paling memahami dan menghapalkan terus saya tulis ulang. Saya menggunakan metode itu karena saya mudah lupa, jadi ketika 
Tantangan paling malas dan kalau materinya hitung-hitungan perlu teman atau orang yang lebih paham untuk minta pengajaran. Untuk mengatasi inget tujuan kuliah untuk motivasi, cari teman yang bisa membantu, menghindari sikap menunda-nunda. 
Dari pengalaman belajar saya, mungkin saat ini belum ada niat untuk mengubah. Tetapi kalau kedepan ada cara yang lebih baik akan dipertimbangkan. ",Kinestetik
