Kalimat,Tipe
"Pengalaman saya yang paling berkesan dalam pembelajaran seperti cara guru menerangkan materi dan cara pengerjaannya yang lengkap dan mudah dipahami. Pemahaman materi saya biasanya saya terus mencoba dan biasanya bertanya kepada guru atau orang yang sudah berhasil melakukannya atau saya mencoba terus metode itu hingga berhasil atau ""autodidak"". Metode yang paling saya sukai adalah seperti pdf yang menunjukkan langkah langkahnya yang terdetail dan tertera gambar langkah langkahnya. Media yang saya sukai mungkin saat pengarahan cara membuat atau mengembangkan gamenya itu sangat lengkap dan berserta dengan gambar cara pengerjaannya.",Visual
"Saya terbiasa belajar sambil mendengarkan musik. Karena, dengan mendengarkan musik saya jauh lebih fokus dan tidak bosan. Cara saya memahami materi dengan mendengarkan penjelasan guru serta melihat bagaimana guru dapat melakukan hal tersebut. Jika hal tersebut masih tidak berhasil saya akan mencari alternatif dengan melihat tutorial dari youtube dan sosial media lainnya. Metode yang saya gunakan ada melihat, mendengarkan, lalu mempraktikkan. Saya menggunakan metode tersebut karena metode tersebut sangat berguna untuk diriku ini. Media yang sering saya gunakan yaitu belajar sambil mendengarkan musik atau menggambar. Saya menggunakan media tersebut karena  membuat saya lebih fokus serta saya menerapkan metode belajar 30,5,30 yaitu 30 menit belajar, 5 menit istirahat, 30 menit belajar kembali atau mengulangi pelajaran",Auditory
"Pengalaman belajar saya yang paling berkesan sebenarnya banyak, tapi saya akan menceritakan salah satunya. Saat pelajaran saya mengerti dan bisa menjawab pertanyaan, saya disitu merasa sudah paham dalam mata pelajaran tersebut. Saya memahami materi dengan membaca modul dan kisi kisi yang tersedia, bisa juga dengan bertanya kepada orang lain. Sambil mendengar musik karena itu bisa bikin tenang saat belajar dan ketika saya tenang, saya mudah untuk memahami suatu materi. Saya menggunakan media berupa internet, karena di internet banyak pilihan untuk media belajar, banyak juga media yang menarik untuk dibaca dan dilihat.",Read/Write
"Pengalaman belajar saya yang paling berkesan adalah belajar SKS (sistem kebut semalam) karena menantang dan seru. Cara saya memahami materi dengan mencoba lagi dan mengerjakan latihan soal yang ada di internet. Metode saya belajar adalah belajar jam 2 pagi sambil mendengarkan musik, dijamin tidak lupa sewaktu ujian. Media yang saya pakai adalah buku karena minim gangguan, tidak seperti di HP atau laptop.",Read/Write
"Pengalaman belajar yang paling berkesan bagi saya terjadi saat saya akhirnya bisa memahami sesuatu yang sulit awalnya bingung tetapi setelah berusaha, saya berhasil paham dan merasa sangat puas.Untuk memahami materi saya memecahnya jadi bagian kecil setelah itu saya mencari contoh penerapan agar lebih jelas. Dengan cara ini materi terasa lebih mudah. Biasanya saya membuat catatan singkat karena lebih mudah diingat. Catatan sederhana ini memudahkan saat mengulang tanpa harus membaca panjang. Media favorit saya adalah video dan artikel. Video membantu dengan visual sementara artikel memberi tambahan info. Keduanya membuat proses belajar lebih seru.",Read/Write
"Salah satu pengalaman belajar paling berkesan adalah belajar melalui media video. Menurut saya, lebih mudah memahami materi dengan video. Cara saya memahami materi dengan mempraktikkan nya. Metode pembelajaran yang saya gunakan adalah dengan melihat video. Media yang saya gunakan yaitu media hp atau laptop. Alasannya karena bisa langsung dipraktekkan. ",Kinesthetic
"Pengalaman belajar yang paling berkesan adalah saat hp saya disita dikarenakan besoknya ujian, sehingga saya merasa bosan, dan untuk menghilangkan kebosanan itu, saya belajar. Cara saya memahami materi dengan mencari materi lain yang serupa lalu membandingkannya. Metode yang saya gunakan adalah menerapkan serta mengucapkan materi tersebut beberapa kali, karena saya merasa saya lebih memahami sebuah materi saat melakukannya. Saya lebih suka belajar menggunakan perangkat elektronik seperti hp, karena saya bisa mencari banyak materi yang serupa dengan materi yang saya cari, lalu membandingkannya.",Kinesthetic
"Pengalaman paling berkesan saya adalah saat saya sedang mempelajari bahasa pemrograman Python awalnya saya tidak mengerti cara memprogramnya, tapi setelah membaca dokumentasi python saya langsung mempraktekkan nya dan berhasil.

Biasanya saya mempelajari nya lebih lanjut dengan membaca dokumentasi atau di Wikipedia atau kadang saya melihat contoh langsungnya yang sudah jadi (contoh di github untuk melihat contoh kode).

Strategi saya untuk mempelajari suatu hal adalah melihat contohnya langsung atau membaca baca dokumentasi tentang hal yang saya pelajari.

Media yang sering saya pakai adalah wikipedia karena menjelaskan suatu hal yang saya pelajari mendetail, Github karena saya dapat mempelajari bagaimana programmer professional menulis kan kode yang efisien, dan Google untuk mempelajari hal hal umum yang saya pelajari.",Read/Write
"Pengalaman belajar yang saya rasakan adalah sering berdiskusi dengan teman, bisa mengerjakan dengan serius atau bercanda. Saya memahami materi lumayan bisa kadang bikin stress kadang engga. Strategi yang saya gunakan untuk memahami materi adalah menonton video atau tutorial. Kalau media kurang tahu.",Auditory
"Saya memiliki banyak pengalaman belajar, tetapi salah satu yang paling berkesan adalah ketika saya mempelajari bahasa pemrograman Python untuk pertama kalinya. Untuk dapat memahami materi yang saya pelajari, saya biasanya memulai dengan membagi materi tersebut menjadi bagian-bagian yang lebih kecil. Salah satu metode belajar yang paling sering saya gunakan adalah metode "" Flowchart"", yaitu belajar sambil praktik. Media belajar yang paling sering saya gunakan adalah video tutorial dan dokumentasi online.",Visual
