Kalimat,Tipe
"1.Pengalaman Belajar yang Berkesan.
Salah satu pengalaman belajar yang paling berkesan bagi saya terjadi ketika saya belajar dengan teman
2.Cara Memahami Materi
Untuk memahami materi, saya memulainya dengan membaca materi dari buku teks dan referensi lain secara seksama. Setelah itu, saya mencoba untuk mengerjakan soal-soal latihan yang berhubungan dengan teori yang baru saja dipelajari.
3.Strategi Pembelajaran
Strategi pembelajaran yang saya gunakan untuk memahami materi adalah teknik belajar aktif. Salah satunya adalah dengan mengajarkan kembali materi yang telah saya pelajari kepada teman sekelas atau bahkan diri saya sendiri. Ketika saya mencoba menjelaskan konsep-konsep yang telah saya pelajari, saya merasa lebih mudah untuk mengingat dan memahaminya.
4.media yang di sukai adalah media digital seperti vidio pembelajaran",Visual
"Pengalaman saya yang paling berkesan dalam pembelajaran seperti cara guru menerangkan materi dan cara pengerjaannya yang lengkap dan mudah dipahami

Pemahaman materi saya biasanya saya terus mencoba dan biasanya bertanya kepada guru atau orang yang sudah berhasil melakukannya atau saya mencoba terus metode itu hingga berhasil atau ""autodidak""

Metode yang paling saya sukai adalah seperti pdf yang menunjukkan langkah langkahnya tang terdetail dan tertera gambar langkah langkahnya 

Media yang saya sukai mungkin saat pengarahan cara membuat / mengembangkan gamenya itu sangat lengkap dan berserta dengan gambar cara pengerjaannya ",Visual
"1.Saat hari² produktif, yang terjadi ialah saya yang mendapat ilmu baru dalam pengembangan aplikasi atau membuat aplikasi yang saya inginkan dan yang saya rasakan adalah perasaan senang
2.Cara pemahaman saya ialah dijelaskan secara rinci dan detail sehingga saya bisa mempraktik kan hal yang terjadi agar sekalian mendapat pengalaman cara menggunakan/mengoperasikan
3.Metode membaca atau di jelaskan secara rinci, karena saya kalau dijelaskan secara tidak terperinci saya tidak akan paham dengan apa yang di maksud dalam pelajaran tersebut
4.Media internet, dikarenakan dalam penggunaan internet lebih lengkap daripada buku. Dan saya kalau membaca buku pasti ada yang tidak lengkap, sehingga saya memilih untuk menggunakan media belajar online dan mencari secara rinci di media youtube",Visual
"Saya terbiasa belajar sambil mendengarkan musik .karena, dengan mendengarkan musik saya jauh lebih fokus dan tidak bosan .

Cara saya memahami materi dengan mendengarkan penjelasan guru serta melihat cara bagaimana guru dapat melakukan hal tersebut.Jika hal tersebut masih tidak berhasil saya akan mencari alternatif dengan melihat tutorial dari youtube dan sosial media lainnya.

Metode yang saya gunakan ada melihat 
mendengarkan lalu mempraktikkan .saya menggunakan metode tersebut karena metode tersebut sangat berguna untuk diriku ini.

Media yang sering saya gunakan yaitu yaitu belajar sambil mendengarkan musik atau menggambar . Saya menggunakan media tersebut karena  membuat saya lebih fokus serta saya menerapkan metode belajar 30,5,30 yaitu 30 menit belajar , 5 menit istirahat ,30 menit belajar kembali atau mengulangi pelajaran
",Auditory
"1. sebenarnya banyak,tapi saya akan menceritakan salah satunya,saat pelajaran saya mengerti dan menjawab pertanyaan saya bisa,saya disitu merasa sudah paham dalam mata pelajaran tersebut
2. dengan membaca modul dan kisi kisi yang tersedia,bisa juga dengan bertanya kepada orang lain
3. sambil mendengar musik karena itu bisa bikin tenang saat belajar dan ketika saya tenang, saya mudah untuk memahami suatu materi
4. internet, karena di internet banyak pilihan untuk media belajar, banyak juga media yang menarik untuk dibaca dan dilihat",Read/Write
"1)Pengalaman belajar saya yang paling berkesan adalah belajar sks(sistem kebut semalam) karena menantang dan seru..2)Mencoba lagi dan mengerjakan latihan soal yang ada di internet..3)Metodenya adalah belajar jam 2 pagi sambil mendengarkan musik,dijamin ngga lupa pas ujian..4)Media buku karena minim gangguan,tidak seperti diHP/laptop ",Read/Write
"1  Pengalaman belajar yang paling berkesan bagi saya terjadi saat saya akhirnya bisa memahami sesuatu yang sulit awalnya bingung tetapi setelah berusaha, saya berhasil paham dan merasa sangat puas.
2  Untuk memahami materi saya memecahnya jadi bagian kecil setelah itu saya mencari contoh penerapan agar lebih jelas dengan cara ini materi terasa lebih mudah.
3  Biasanya saya membuat catatan singkat karena lebih mudah diingat catatan sederhana ini memudahkan saat mengulang tanpa harus membaca panjang.
4. Media favorit saya adalah video dan artikel video membantu dengan visual sementara artikel memberi tambahan info keduanya membuat proses belajar lebih seru.",Read/Write
    Salah satu pengalaman belajar paling berkesan belajar melalui media video yang saya rasakan lebih mudah memahami materi. Cara saya memahami materi dengan mempraktikkan nya.Metode pembelajaran yang saya gunakan melihat video. Media yang saya gunakan media hp atau laptop alasan saya menggunakan bisa langsung di praktek kan. ,Kinesthetic
"1. Pengalaman belajar yang paling berkesan adalah saat hp saya disita dikarenakan besoknya ujian, sehingga saya merasa bosan, dan untuk menghilangkan kebosanan itu, saya belajar
2. Dengan mencari materi lain yang serupa lalu membandingkannya
3. Metode yang saya gunakan adalah menerapkan serta mengucapkan materi tersebut beberapa kali, karena saya merasa saya lebih memahami sebuah materi saat melakukannya.
4. Saya lebih suka belajar menggunakan perangkat elektronik seperti hp, karena saya bisa mencari banyak materi yang serupa dengan materi yang saya cari, lalu membandingkannya.",Kinesthetic
"1. Pengalaman paling berkesan saya adalah saat saya sedang mempelajari bahasa pemrograman Python awalnya saya tidak mengerti cara memprogramnya, tapi setelah membaca dokumentasi python saya langsung mempraktekkan nya dan berhasil
2. Biasanya saya mempelajari nya lebih lanjut dengan membaca dokumentasi atau di Wikipedia atau kadang saya melihat contoh langsungnya yang sudah jadi (contoh di github untuk melihat contoh kode) 
3. Strategi saya untuk mempelajari suatu hal adalah melihat contohnya langsung atau membaca baca dokumentasi tentang hal yang saya pelajari
4. Wikipedia: karena menjelaskan suatu hal yang saya pelajari mendetail
    Github: karena saya dapat mempelajari bagaimana programmer professional menulis kan kode yang efisien
   Google: untuk mempelajari hal hal umum yang saya pelajari",Read/Write
