Kalimat,Tipe
"""Pengalaman saya yang paling berkesan dalam pembelajaran seperti cara guru menerangkan materi dan cara pengerjaannya yang lengkap dan mudah dipahami

Pemahaman materi saya biasanya saya terus mencoba dan biasanya bertanya kepada guru atau orang yang sudah berhasil melakukannya atau saya mencoba terus metode itu hingga berhasil atau """"autodidak""""

Metode yang paling saya sukai adalah seperti pdf yang menunjukkan langkah langkahnya tang terdetail dan tertera gambar langkah langkahnya 

Media yang saya sukai mungkin saat pengarahan cara membuat / mengembangkan gamenya itu sangat lengkap dan berserta dengan gambar cara pengerjaannya """,Visual
    Salah satu pengalaman belajar paling berkesan belajar melalui media video yang saya rasakan lebih mudah memahami materi. Cara saya memahami materi dengan mempraktikkan nya.Metode pembelajaran yang saya gunakan melihat video. Media yang saya gunakan media hp atau laptop alasan saya menggunakan bisa langsung di praktek kan. ,Kinestetik
"""1. Pengalaman paling berkesan saya adalah saat saya sedang mempelajari bahasa pemrograman Python awalnya saya tidak mengerti cara memprogramnya, tapi setelah membaca dokumentasi python saya langsung mempraktekkan nya dan berhasil
2. Biasanya saya mempelajari nya lebih lanjut dengan membaca dokumentasi atau di Wikipedia atau kadang saya melihat contoh langsungnya yang sudah jadi (contoh di github untuk melihat contoh kode) 
3. Strategi saya untuk mempelajari suatu hal adalah melihat contohnya langsung atau membaca baca dokumentasi tentang hal yang saya pelajari
4. Wikipedia: karena menjelaskan suatu hal yang saya pelajari mendetail
    Github: karena saya dapat mempelajari bagaimana programmer professional menulis kan kode yang efisien
   Google: untuk mempelajari hal hal umum yang saya pelajari""",Read/Write
"""1. pengalaman
belajar: 
Saya memiliki banyak pengalaman belajar, tetapi salah satu yang paling berkesan adalah ketika saya mempelajari bahasa pemrograman Python untuk pertama kalinya

2. cara 
memahami materi: Untuk dapat memahami materi yang saya pelajari, saya biasanya memulai dengan membagi materi tersebut menjadi bagian-bagian yang lebih kecil.

3 Strategi
Pembelajaran:Salah satu metode yang paling sering saya gunakan adalah metode """" Flowchart"""", yaitu belajar sambil praktik.

4. media:Media belajar yang paling sering saya gunakan adalah video tutorial dan dokumentasi online. """,Visual
"""- pengalaman yang paling berkesan adalah bertemu/diajar oleh guru yang bisa diajak bergurau dan tidak terlalu mengekang murid""""nya melakukan sesuatu yang sesuai keinginannya. Ketika saya bertemu dengan guru seperti itu, saya merasa plong dan pd untuk bertanya dan berbicara kepada beliau"""" tersebut.
- Saya bisa lebih mudah memahami ketika dilakukannya dengan praktek dan langsung dicontohkan secara rinci, dengan itu saya juga lebih mudah mencerna penjelasan dan dapat mengaplikasikannya pada materi pelajaran selanjutnya.
- Metode praktik langsung, saya memilih metode ini karena saya bisa lebih mudah mengikuti langkah"""" yang telah diberikan. Tetapi saya juga perlu pembimbing untuk mengajari saya, baik dari internet maupun dalam kehidupan nyata.
- Saya lebih suka metode digital, namun saya juga tidak keberatan dengan metode tradisional, intinya adalah bagaimana cara saya dapat mencerna penjelasan, yang paling mudah akan saya teruskan.""",Kinestetik
"""    pengalaman belajar paling berkesan adalah saya dapat memahami materi yang guru berikan dengan cara mengajarinya langsung. Karena saya rasa di bimbing langsung dapat membuat saya lebih memahami materi

   langkah yang saya ambil untuk memahami materi adalah dengan menonton vidio atau melihat langsung orang yang memahami materi tersebut. Karena menurut saya melihat atau diajari secara langsung lebih efektif

   Teknik yang saya ambil adalah mengamati dan membayangkan kalau orang yang menginstruksikan adalah saya. Dengan itu saya bisa lebih mengigat langkah langkah materi yang diberikan 

   Media yang paling saya suka dalam pembelajaran adalah mendesain sesuatu dan mempresentasikan. Karna saya dapat leluasa menjelaskan projek yang saya buat """,Kinestetik
"""- Ketika saya mempraktekkan langsung ke media tersebut,menurut saya pembelajaran praktek lebih menarik daripada cuman teori

- a.mempelajari materi sesuai suasana hati
  b.belajar tidak dengan terpaksa

 - Media praktek, karana bisa langsung terjun ke media pembelajara

- Media pembelajaran yang sering saya gunakan yaitu, belajar dengan mendengarkan musik dan juga nyemill..
 

  """,Kinestetik
"""1.saya sangat senang belajar jika saya belajar dengan guru yang asik
2.cara saya memahami materi adalah dengan cara mendengar atau melihat penjelasan guru tersebut
3.saya lebih suka dengan teknik praktek
4.saya biasa menggunakan HP untuk media belajar saya""",Auditori
"""Pengalaman belajar yang paling berkesan? 📚✍️🤷‍♂️. Sesuai pengalaman saya pengalaman belajar yang paling berkesan menurut saya adalah ketika saya dapat berdiskusi dengan teman belajar🗣️. Tidak hanya itu saya juga lebih suka belajar sendiri👤. Karna ketika belajar bersama teman atau siapapun, saya tidak mau diandalkan atau mengandalkan.✍️🧠 

Strategi belajar 📚✏ dapat saya tegaskan kembali strategi belajar adalah cara-cara yang dipilih untuk mempermudah dalam memahami materi📝. Di pertanyaan tertulis """"Apa langkah-langkah atau pendekatan yang Anda lakukan untuk mencapai pemahaman tersebut?"""".🤔 Langkah dan pendekatan saya untuk mencapai pemahaman tersebut saya lebih sering menggunakan cara """"Problem Based Learning"""" metode pembelajaran yang menggunakan masalah dunia nyata🌎 untuk membantu peserta didik memahami konsep dan menyelesaikan masalah. 

Dalam upaya saya memahami materi 🤔, saya cenderung lebih suka dengan metode mendengarkan👂 dan membaca 📖. Dikarenakan metode itu dapat meningkatkan skill pubilc speaking saya dengan cara mendegarkan dapat 2 ilmu🧠 yaiti : cara mereka menyampaikan dan materi yang saya pelajari. juga Dengan membaca dapat meningkatkan cara bicara saya dan kelancaran bicara. 

Di era yang digital ini🖥saatnya kita menjadi pelajar yang """"next level""""😮. Karena semua telah dimudahkan dengan perkembangan teknologi yang pesat. Dan saya juga memanfaatkan teknologi untuk belajar 📚✏👨‍💻. Karna apa jika kita hanya terpaku dalam pembelajaran yang ITU-ITU AJA kita akan cepat bosan, TAPI ADA JUGA ORANG nyaman ketika belajar tidak terlalu terhadap teknologi. ",Auditori
"""  Pengalaman belajar saya yang paling berkesan yaitu dapat mengikuti berbagai sekolah kursus online yang didalamnya mengandung sertifikat yang mungkin dapat digunakan dimasa yang akan mendatang dan yang saya rasakan saat itu sangat senang dan bangga dapat mempelajari suatu materi yang yang belum pernah saya pelajari sebelumnya.

  Untuk memahami materi yang dipelajari saya menggunakan berbagai cara yaitu melihat bagamana orang tersebut dapat menguasai materi tersebut, kemudian menyimpulkan dari pengamatan tersebut dalam bentuk ringkasan, kemudian mempelajari materi yang ada dalam ringkasan tersebut.

  Metode yang saya gunakan untuk memahami materi adalah dengan menggunakan metode peta konsep, karena metode ini membantu untuk memahami materi secara konseptual, dan meningkatkan daya analisis serta berfikir kritis.

  Media yang sering saya gunakan untuk belajar yaitu media YouTube, alasan saya menggunakan media YouTube sebagai media belajar, karena didalam YouTube terdapat beberapa video tentang materi yang disampaikan sekaligus tutorial dari materi yang disampaikan dalam video tersebut.""",Visual
